,title,company,salary,summary
0,Vice President of Operations,Millennium PetroCapital Corporation,"From $90,000 a year","The Vice President of Operations (VPO) is responsible for directing the company’s Operations Department.
Responsibilities include developing and implementing…"
1,PETROLEUM SCIENTIST 1-3,State of Louisiana,"$3,999 - $7,006 a month",A bachelor's degree with 24 hours in petroleum engineering or geology will substitute for the one year of required experience.
2,Senior Petroleum Engineer,Killam,,
3,Permian Basin Production Engineering Manager,Percussion Petroleum,"Up to $250,000 a year","8 – 15 years minimum experience in production engineering roles.
3+ years in management roles directly managing in-house production engineering employees."
4,Engineering Summer Intern,Vernon E. Faulconer,,
5,Petroleum Engineering Faculty,University of Pittsburgh,,
6,Part-Time Lecturer of Petroleum Engineering,USC,,
7,Petroleum Specialist - Advanced - UIC Program,State of New Mexico,"$47,510 - $82,667 a year","Degree in engineering or similar.
This position assists the Underground Injection Control (UIC) program of the Oil Conservation Division's (OCD) Engineering…"
8,Drilling Performance Engineering Supervisor (West Texas),Nabors Industries,,
9,Permian Basin Drilling & Completions Manager,Percussion Petroleum,"Up to $250,000 a year","8 – 15 years minimum experience in drilling & completions engineering roles.
3+ years in management roles directly managing in-house drilling and completion…"
10,"Assistant Professor, Petroleum Engineering",University of North Dakota,,
11,Lecturer - Petroleum Engineering,University of Houston,,
12,Accounts Receivable and Accounts Payable Clerk,Trident Engineering & Inspection,$20 - $30 an hour,"We offer Health, Dental, Vision, 401k, ROTH, Critical Care Insurance, Long Term Care Insurance, 2 Financial Advisors that are free, My Money At Work Program,…"
13,HES Professional - Process Safety Management,Marathon Petroleum Corporation,,
14,PROJECT MANAGER I-ENGINEERING,Zachry Group,,
15,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","Job Summary The Facilities Engineer is charged with managing assigned facilities engineering needs for the company. In addition, the role involves evaluating…"
16,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","*Summary: * Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage the construction of facilities on operated assets…"
17,Refining Engineer II,Marathon Petroleum Corporation,,
18,Production/Facilities Engineer,Penn Virginia Corporation,,
19,"Maintenance Mechanic (Kingfisher, OK)",Marathon Petroleum Corporation,,
20,"Director, Reservoir Engineering",Denbury,,
21,Refining Planning Engineer,Marathon Petroleum Corporation,,
22,Post Doctoral Fellow,Oklahoma State University,,
23,Engineering Project Manager,RaceTrac,,
24,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Duties Summary The incumbent provides engineering assistance working with land owners, groups, and units of government to apply and maintain a variety of…"
25,Metals Mechanic,Marathon Petroleum Corporation,$46.30 an hour,"Location Name: MRLS Anacortes WA Refinery Location Address: 10200 West March Point Rd, Anacortes, WA, United States (US), 98221 Education Level: High School…"
26,Lease Operator,Callon Petroleum Operating Company,,
27,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV.",Bolivar Trading,,
28,"Environmental Project Manager; Midland, TX RW",Tetra Tech,,
29,Test Engineer - Entry Level (Temporary),Barrios Technology,,
30,Delaware Basin Drilling Engineer,Percussion Petroleum,"Up to $250,000 a year","· 8 – 15 years minimum experience in drilling engineering roles*.
Percussion Petroleum II, LLC is searching for a Senior Drilling Engineer to lead drilling…"
31,Financial Associate,Percussion Petroleum,"Up to $150,000 a year","Create monthly corporate financial model using accounting and engineering data.
Percussion Petroleum II, LLC is searching for a Financial Associate to construct…"
32,Vice President of Operations,Millennium PetroCapital Corporation,"From $90,000 a year","The Vice President of Operations (VPO) is responsible for directing the company’s Operations Department.
Responsibilities include developing and implementing…"
33,Lecturer - Petroleum Engineering,University of Houston,,
34,Accounts Receivable and Accounts Payable Clerk,Trident Engineering & Inspection,$20 - $30 an hour,"We offer Health, Dental, Vision, 401k, ROTH, Critical Care Insurance, Long Term Care Insurance, 2 Financial Advisors that are free, My Money At Work Program,…"
35,HES Professional - Process Safety Management,Marathon Petroleum Corporation,,
36,PROJECT MANAGER I-ENGINEERING,Zachry Group,,
37,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","A minimum of a B.S. in petroleum, mechanical or chemical engineering from an ABET accredited institution is required."
38,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
39,Refining Engineer II,Marathon Petroleum Corporation,,
40,"Maintenance Mechanic (Kingfisher, OK)",Marathon Petroleum Corporation,,
41,Production/Facilities Engineer,Penn Virginia Corporation,,
42,Chemist II,Core Lab,,
43,"Manager, Safety Excellence and Human Performance Risk",CF Industries,,
44,,Trileaf Corporation,"From $30,000 a year","Trileaf Corporation is a nationwide environmental, architecture, and engineering consulting firm that assists clients with environmental due diligence,…"
45,Refining Engineer II,Marathon Petroleum Corporation,,
46,Production/Facilities Engineer,Penn Virginia Corporation,,
47,"Maintenance Mechanic (Kingfisher, OK)",Marathon Petroleum Corporation,,
48,"Director, Reservoir Engineering",Denbury,,
49,Refining Planning Engineer,Marathon Petroleum Corporation,,
50,Post Doctoral Fellow,Oklahoma State University,,
51,Engineering Project Manager,RaceTrac,,
52,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
53,Metals Mechanic,Marathon Petroleum Corporation,$46.30 an hour,"Metals Mechanics layout, fit and fabricate metals components to assemble piping systems, structural forms, such as machinery frames, bridge parts, and pressure…"
54,Lease Operator,Callon Petroleum Operating Company,,
55,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV.",Bolivar Trading,,
56,"Environmental Project Manager; Midland, TX RW",Tetra Tech,,
57,Test Engineer - Entry Level (Temporary),Barrios Technology,,
58,"Manager, Process Engineering",TC Energy,,
59,Refinery Inspection Technician (3531),OneSource,"$100,000 - $120,000 a year","Our client has been a privately owned petroleum and asphalt refinery in the Southeast for 70 years.
Work with maintenance and engineering to implement necessary…"
60,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","A minimum of a B.S. in petroleum, mechanical or chemical engineering from an ABET accredited institution is required."
61,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
62,Refining Engineer II,Marathon Petroleum Corporation,,
63,"Maintenance Mechanic (Kingfisher, OK)",Marathon Petroleum Corporation,,
64,Production/Facilities Engineer,Penn Virginia Corporation,,
65,"Director, Reservoir Engineering",Denbury,,
66,Refining Planning Engineer,Marathon Petroleum Corporation,,
67,Post Doctoral Fellow,Oklahoma State University,,
68,Engineering Project Manager,RaceTrac,,
69,Metals Mechanic,Marathon Petroleum Corporation,$46.30 an hour,"Metals Mechanics layout, fit and fabricate metals components to assemble piping systems, structural forms, such as machinery frames, bridge parts, and pressure…"
70,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
71,Lease Operator,Callon Petroleum Operating Company,,
72,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV.",Bolivar Trading,,
73,"Environmental Project Manager; Midland, TX RW",Tetra Tech,,
74,Refinery Inspection Technician (3531),OneSource,"$100,000 - $120,000 a year","Our client has been a privately owned petroleum and asphalt refinery in the Southeast for 70 years.
Work with maintenance and engineering to implement necessary…"
75,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","A minimum of a B.S. in petroleum, mechanical or chemical engineering from an ABET accredited institution is required."
76,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
77,Refining Engineer II,Marathon Petroleum Corporation,,
78,"Maintenance Mechanic (Kingfisher, OK)",Marathon Petroleum Corporation,,
79,Production/Facilities Engineer,Penn Virginia Corporation,,
80,"Director, Reservoir Engineering",Denbury,,
81,Refining Planning Engineer,Marathon Petroleum Corporation,,
82,Post Doctoral Fellow,Oklahoma State University,,
83,Engineering Project Manager,RaceTrac,,
84,Metals Mechanic,Marathon Petroleum Corporation,$46.30 an hour,"Metals Mechanics layout, fit and fabricate metals components to assemble piping systems, structural forms, such as machinery frames, bridge parts, and pressure…"
85,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
86,Lease Operator,Callon Petroleum Operating Company,,
87,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV.",Bolivar Trading,,
88,"Environmental Project Manager; Midland, TX RW",Tetra Tech,,
89,Refinery Inspection Technician (3531),OneSource,"$100,000 - $120,000 a year","Our client has been a privately owned petroleum and asphalt refinery in the Southeast for 70 years.
Work with maintenance and engineering to implement necessary…"
90,Facilities Engineer,Caerus Oil & Gas,"$122,000 - $151,000 a year","A minimum of a B.S. in petroleum, mechanical or chemical engineering from an ABET accredited institution is required."
91,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
92,Refining Engineer II,Marathon Petroleum Corporation,,
93,Production/Facilities Engineer,Penn Virginia Corporation,,
94,"Maintenance Mechanic (Kingfisher, OK)",Marathon Petroleum Corporation,,
95,"Director, Reservoir Engineering",Denbury,,
96,Refining Planning Engineer,Marathon Petroleum Corporation,,
97,Post Doctoral Fellow,Oklahoma State University,,
98,Engineering Project Manager,RaceTrac,,
99,Engineering Technician,US Natural Resources Conservation Service,"$34,916 - $68,777 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
100,Metals Mechanic,Marathon Petroleum Corporation,$46.30 an hour,"Metals Mechanics layout, fit and fabricate metals components to assemble piping systems, structural forms, such as machinery frames, bridge parts, and pressure…"
101,Lease Operator,Callon Petroleum Operating Company,,
