,company,salary,title
0,Shell,,Exploration Geoscientist
1,Ulterra,$16 - $20 an hour,"Research & Development Intern, Petroleum Engineering & Compu..."
2,State of Louisiana,"$3,999 - $7,006 a month",PETROLEUM SCIENTIST 1-3
3,USC,,Part-Time Lecturer of Petroleum Engineering
4,Vernon E. Faulconer,,Engineering Summer Intern
5,Oklahoma State University,,Post Doctoral Fellow
6,University of Houston,,Lecturer - Petroleum Engineering
7,Lawrence Berkeley National Laboratory,,Hydrogeology Postdoctoral Fellow
8,Chevron,,R&D Laboratory Technician
9,Energy Transfer Family of Partnerships,,Engineer - Pipeline Integrity East
10,University of Pittsburgh,,Petroleum Engineering Faculty
11,Apache Corporation,,Engineer Drilling Sr
12,Trident Engineering & Inspection,$20 - $30 an hour,Accounts Receivable and Accounts Payable Clerk
13,IPCOS,,Digital Oil Field Consultant
14,Hargrove Engineers + Constructors,,Process Engineer - Entry Level
15,Hargrove Engineers + Constructors,,Process Engineer - Entry Level
16,KeyLogic Systems,,Energy Analysis Internship
17,CVR Energy,,Intern
18,VAM USA,,(R&D) Project/Methods Engineer Intern
19,US Department of the Air Force,,Engineering/Architecture
20,Honeywell,,R&D Engr/Scientist I
21,Oak Ridge National Laboratory,,R&D Associate Staff Member in Synthetic Biology and Metaboli...
22,TechnipFMC,,Electronic Hardware Engineering Intern
23,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
24,Penn State University,,Postdoctoral Scholar
25,National Oilwell Varco,,"Regional Support Engineer, North America"
26,Marathon Petroleum Corporation,,"Maintenance Mechanic (Kingfisher, OK)"
27,PinnacleART,,Engineering Intern
28,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
29,The University of Mississippi,,Assistant/Associate Professor of Geological Engineering
30,CVR Energy,,Intern
31,Hargrove Engineers + Constructors,,Process Engineer - Entry Level
32,KeyLogic Systems,,Energy Analysis Internship
33,VAM USA,,(R&D) Project/Methods Engineer Intern
34,US Department of the Air Force,,Engineering/Architecture
35,TechnipFMC,,Electronic Hardware Engineering Intern
36,Penn State University,,Postdoctoral Scholar
37,Honeywell,,R&D Engr/Scientist I
38,Oak Ridge National Laboratory,,R&D Associate Staff Member in Synthetic Biology and Metaboli...
39,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
40,Marathon Petroleum Corporation,,"Maintenance Mechanic (Kingfisher, OK)"
41,National Oilwell Varco,,"Regional Support Engineer, North America"
42,PinnacleART,,Engineering Intern
43,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
44,The University of Mississippi,,Assistant/Associate Professor of Geological Engineering
45,Shell,,Exploration Geoscientist
46,Phillips 66,,Instrument Technician - Alliance Refinery
47,Penn Virginia Corporation,,Production/Facilities Engineer
48,Weatherford,,Production Engineer
49,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
50,Pioneer Natural Resources Company,,DOUBLEPOINT EMPLOYEE ONLY - Operations Engineering Superviso...
51,Discovery Natural Resources LLC,,Facilities Engineer
52,American Journal Experts (AJE),,Independent Contract Editor--Engineering
53,Citgo,,Associate Mechanical Engineer
54,Phillips 66,,Analyzer Technician - Alliance Refinery
55,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
56,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
57,US Department of the Air Force,,Engineering/Architecture
58,Lewis Energy Group,,Intern
59,Phillips 66,,"Scientist, Lubricants Research & Development"
60,CVR Energy,,Intern
61,Hargrove Engineers + Constructors,,Process Engineer - Entry Level
62,KeyLogic Systems,,Energy Analysis Internship
63,VAM USA,,(R&D) Project/Methods Engineer Intern
64,US Department of the Air Force,,Engineering/Architecture
65,TechnipFMC,,Electronic Hardware Engineering Intern
66,Penn State University,,Postdoctoral Scholar
67,Honeywell,,R&D Engr/Scientist I
68,Oak Ridge National Laboratory,,R&D Associate Staff Member in Synthetic Biology and Metaboli...
69,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
70,Marathon Petroleum Corporation,,"Maintenance Mechanic (Kingfisher, OK)"
71,National Oilwell Varco,,"Regional Support Engineer, North America"
72,PinnacleART,,Engineering Intern
73,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
74,The University of Mississippi,,Assistant/Associate Professor of Geological Engineering
75,Shell,,Exploration Geoscientist
76,Phillips 66,,Instrument Technician - Alliance Refinery
77,Penn Virginia Corporation,,Production/Facilities Engineer
78,Weatherford,,Production Engineer
79,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
80,Pioneer Natural Resources Company,,DOUBLEPOINT EMPLOYEE ONLY - Operations Engineering Superviso...
81,Discovery Natural Resources LLC,,Facilities Engineer
82,American Journal Experts (AJE),,Independent Contract Editor--Engineering
83,Citgo,,Associate Mechanical Engineer
84,Phillips 66,,Analyzer Technician - Alliance Refinery
